id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q1773015,Freddy de Ruiter,,,Q190219,Det norske Arbeiderparti,Q50621,Aust-Agder,Q1475163
Q1771743,Torbjørn Andersen,,,Q485665,Fremskrittspartiet,Q50621,Aust-Agder,Q1475163
Q3356717,Inger Haldis Løite,,,Q190219,Det norske Arbeiderparti,Q50621,Aust-Agder,Q1475163
Q1771172,Åse Gunhild Woie Duesund,,,Q1166025,Kristelig Folkeparti,Q50621,Aust-Agder,Q1475163
Q1773022,Henning Skumsvoll,,,Q485665,Fremskrittspartiet,Q50623,Vest-Agder,Q1475163
Q5914793,Rolf Terje Klungland,,,Q190219,Det norske Arbeiderparti,Q50623,Vest-Agder,Q1475163
Q663652,Jon Lilletun,,,Q1166025,Kristelig Folkeparti,Q50623,Vest-Agder,Q1475163
Q1771760,Peter Skovholt Gitmark,,,Q586364,Høyre,Q50623,Vest-Agder,Q1475163
Q1772865,Åse Schmidt,,,Q485665,Fremskrittspartiet,Q50623,Vest-Agder,Q1475163
Q1773018,Anne Margrethe Larsen,,,Q500190,Venstre,Q50623,Vest-Agder,Q1475163
Q156540,Anniken Huitfeldt,,,Q190219,Det norske Arbeiderparti,Q50615,Akershus,Q1475163
Q1771184,Morten Høglund,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q1475163
Q1351719,Jan Petersen,,,Q586364,Høyre,Q50615,Akershus,Q1475163
Q1772869,Sverre Myrli,,,Q190219,Det norske Arbeiderparti,Q50615,Akershus,Q1475163
Q1772903,Hans Frode Asmyhr,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q1475163
Q156553,Jan Tore Sanner,,,Q586364,Høyre,Q50615,Akershus,Q1475163
Q5578358,Vidar Bjørnstad,,,Q190219,Det norske Arbeiderparti,Q50615,Akershus,Q1475163
Q6515505,Rolf Reikvam,,,Q488418,Sosialistisk Venstreparti,Q50615,Akershus,Q1475163
Q1773035,Borghild Tenden,,,Q500190,Venstre,Q50615,Akershus,Q1475163
Q1773029,Kari Kjønaas Kjos,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q1475163
Q1772874,Gunvor Eldegard,,,Q190219,Det norske Arbeiderparti,Q50615,Akershus,Q1475163
Q1771052,Sonja Irene Sjøli,,,Q586364,Høyre,Q50615,Akershus,Q1475163
Q156550,Marianne Aasen,,,Q190219,Det norske Arbeiderparti,Q50615,Akershus,Q1475163
Q5983558,Ib Thomsen,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q1475163
Q2044640,André Oktay Dahl,,,Q586364,Høyre,Q50615,Akershus,Q1475163
Q271279,Åslaug Haga,,,Q493685,Senterpartiet,Q50615,Akershus,Q1475163
Q209611,Thorbjørn Jagland,,,Q190219,Det norske Arbeiderparti,Q50618,Buskerud,Q1475163
Q6514199,Ulf Erik Knudsen,,,Q485665,Fremskrittspartiet,Q50618,Buskerud,Q1475163
Q7513162,Sigrun Eng,,,Q190219,Det norske Arbeiderparti,Q50618,Buskerud,Q1475163
Q6981465,Trond Helleland,,,Q586364,Høyre,Q50618,Buskerud,Q1475163
Q6321658,Jørund Rytman,,,Q485665,Fremskrittspartiet,Q50618,Buskerud,Q1475163
Q4560207,Lise Christoffersen,,,Q190219,Det norske Arbeiderparti,Q50618,Buskerud,Q1475163
Q6514554,Magnar Lund Bergo,,,Q488418,Sosialistisk Venstreparti,Q50618,Buskerud,Q1475163
Q1772947,Torgeir Micaelsen,,,Q190219,Det norske Arbeiderparti,Q50618,Buskerud,Q1475163
Q1772873,Per Olaf Lundteigen,,,Q493685,Senterpartiet,Q50618,Buskerud,Q1475163
Q1350164,Karl Eirik Schjøtt-Pedersen,,,Q190219,Det norske Arbeiderparti,Q50632,Finnmark,Q1475163
Q5415113,Eva M. Nielsen,,,Q190219,Det norske Arbeiderparti,Q50632,Finnmark,Q1475163
